assem	all	pga	pga_like	pag
Bos_taurus__cattle__bosTau9__GCF_002263795.1	53	1	0	52
Brachyteles_arachnoides__Woolly_spider_monkey__HLbraAra1__GCA_047496155.1	2	1	1	0
Bradypus_torquatus__Maned_three-toed_sloth__HLbraTor4__GCA_963992745.1	2	1	1	0
Bubalus_bubalis__water_buffalo__HLbubBub2__GCA_003121395.1	65	1	0	64
Bubalus_kerabau__carabao__HLbubKer1__GCF_029407905.1	71	1	0	70
Budorcas_taxicolor__takin__HLbudTax1__GCA_023091745.1	68	1	0	67
Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1	2	1	1	0
Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1	2	1	1	0
Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1	2	1	1	0
Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1A__GCA_048772815.1	1	0	1	0
Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1B__GCA_048772825.1	1	0	1	0
Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3	2	1	0	1
Camelus_dromedarius__Arabian_camel__HLcamDro3A__GCF_036321535.1	2	1	0	1
Camelus_dromedarius__Arabian_camel__HLcamDro3B__GCA_036321565.1	2	1	0	1
Camelus_ferus__Wild_Bactrian_camel__HLcamFer3__GCA_009834535.1	2	1	0	1
Canis_aureus__Golden_jackal__HLcanAure1__GCF_053574225.1	2	1	1	0
Canis_latrans__Coyote__HLcanLat1__GCA_034620425.1	2	1	1	0
Canis_lupus_baileyi__Mexican_gray_wolf__HLcanLupBai8A__GCF_048164855.1	2	1	1	0
Canis_lupus_dingo__dingo__HLcanLupDin2	2	1	1	0
Canis_lupus_familiaris__Dog__HLcanLupFam7__GCF_014441545.1	2	1	1	0
Canis_lupus_familiaris__dog__canFam4__GCA_011100685.1	2	1	1	0
Canis_lupus_familiaris__dog__canFam5__GCA_005444595.1	2	1	1	0
Canis_lupus_familiaris__dog__canFam6__GCF_000002285.5	2	1	1	0
Canis_lupus__Gray_wolf__HLcanLup8__GCA_905319855.2	2	1	1	0
Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	80	1	0	79
Capra_hircus__goat__HLcapHir2__GCA_001704415.1	73	1	0	72
Capra_ibex__Alpine_ibex__HLcapIbex2__GCA_054642885.1	78	1	0	77
Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	67	1	0	66
Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	39	1	0	38
Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	55	1	0	54
Castor_canadensis__American_beaver__HLcasCan3	1	0	1	0
Castor_canadensis__American_beaver__HLcasCana4A__GCA_047511655.2	1	0	1	0
Castor_canadensis__American_beaver__HLcasCana5__GCA_001984765.2	1	0	1	0
Castor_fiber__Eurasian_beaver__HLcasFibe1__GCA_977036005.1	1	0	1	0
Cebus_albifrons__white-fronted_capuchin__HLcebAlb2__GCA_023783575.1	2	1	1	0
Cephalopachus_bancanus__Horsfields_tarsier__HLcepBan1__GCA_027257055.1	2	0	2	0
Cephalophula_zebra__Zebra_duiker__HLcepZebr1A__GCA_054099735.1	67	1	0	66
Ceratotherium_simum_cottoni__northern_white_rhinoceros__HLcerSimCot2__GCA_021442165.1	8	7	1	0
Ceratotherium_simum_simum__Southern_white_rhinoceros__HLcerSimuSim3__GCA_023653735.1	8	7	1	0
Cervus_albirostris__White-lipped_deer__HLprzAlb2__GCA_046563475.1	44	1	0	43
Cervus_elaphus__red_deer__HLcerEla2__GCF_910594005.1	50	1	0	49
Cervus_nippon__Sika_deer__HLcerNip1__GCA_040085125.1	69	1	0	68
Chionomys_nivalis__European_snow_vole__HLchiNiv1__GCF_950005125.1	1	0	1	0
Chlorocebus_sabaeus__green_monkey__HLchlSab3__GCF_015252025.1	3	3	0	0
Choloepus_didactylus__southern_two-toed_sloth__HLchoDid2__GCF_015220235.1	2	1	1	0
Clethrionomys_rutilus__Northern_red-backed_vole__HLcleRut1__GCA_040207285.1	1	0	1	0
Colobus_guereza__Mantled_guereza__HLcolGuer2__GCA_030247045.1	4	3	1	0
Colobus_guereza__mantled_guereza__HLcolGue1__GCA_021498455.1	3	3	0	0
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1A__GCA_026230055.1	7	1	6	0
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1B__GCA_026230045.1	12	1	11	0
Cricetomys_ansorgei__southern_giant_pouched_rat__HLcriAns1	1	0	1	0
Cricetulus_griseus__Chinese_hamster__HLcriGri3__GCA_003668045.1	1	0	1	0
Cricetus_cricetus__Black-bellied_hamster__HLcriCri1__GCA_964304595.1	1	0	1	0
Crocidura_gueldenstaedtii__Guldenstadts_white-toothed_shrew__HLcroGuel1__GCA_965212715.2	2	1	1	0
Crocidura_zimmermanni__Zimmermanns_shrew__HLcroZim1__GCA_965212715.1	2	1	1	0
Ctenodactylus_gundi__Northern_gundi__HLcteGund2A__GCA_048771875.1	1	0	1	0
Cynocephalus_volans__Philippine_flying_lemur__HLcynVol1__GCA_027409185.1	1	1	0	0
Cynomys_gunnisoni__Gunnisons_prairie_dog__HLcynGun1__GCA_011316645.1	1	0	1	0
Cynomys_ludovicianus__Black-tailed_prairie_dog__HLcynLudo1__GCA_052576455.1	2	0	2	0
Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1	2	1	1	0
Dama_dama__fallow_deer__HLdamDam1__GCF_033118175.1	55	1	0	54
Dasypus_novemcinctus__Nine-banded_armadillo__HLdasNove5A__GCF_030445035.2	9	1	8	0
Dasypus_novemcinctus__nine-banded_armadillo__HLdasNov4__GCF_030445035.1	8	1	7	0
Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1	2	1	1	0
Daubentonia_madagascariensis__aye-aye__HLdauMad2__GCA_023783475.1	2	1	1	0
Delphinapterus_leucas__beluga_whale__HLdelLeu4__GCA_035221355.1	2	1	0	1
Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	8	1	0	7
Delphinus_delphis__saddleback_dolphin__HLdelDel2__GCA_030062865.1	8	1	0	7
Dermanura_phaeotis__Dwarf_fruit-eating_bat__HLderPhae1A__GCA_051107565.1	2	1	1	0
Desmodus_rotundus__common_vampire_bat__HLdesRot15A	2	1	1	0
Diceros_bicornis_minor__black_rhinoceros__HLdicBicMin2__GCA_020826845.1	8	7	1	0
Dipodomys_merriami__Merriams_kangaroo_rat__HLdipMer1__GCA_024711535.1	1	0	1	0
Dipodomys_spectabilis__banner-tailed_kangaroo_rat__HLdipSpe1__GCF_019054845.1	1	0	1	0
Dipus_sagitta__northern_three-toed_jerboa__HLdipSag1__GCA_036346955.1	1	0	1	0
Doryrhina_cyclops__cyclops_roundleaf_bat__HLhipCyc2__GCA_043880285.1	2	1	1	0
Dugong_dugon__Dugong__HLdugDugo3A__GCA_030035585.1	2	1	1	0
Eira_barbara__Tayra__HLeirBar1__GCA_020311275.1	2	1	1	0
Elephas_maximus_indicus__Asiatic_elephant__HLeleMax2__GCA_024166365.1	2	1	1	0
Elephas_maximus_indicus__Asiatic_elephant__HLeleMaxInd3A__GCF_024166365.1	2	1	1	0
Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1	1	0	1	0
Eliomys_quercinus__garden_dormouse__HLeliQue1B__GCA_051143595.1	1	0	1	0
Enhydra_lutris_kenyoni__sea_otter__enhLutKen1__GCF_002288905.1	2	1	1	0
Eospalax_fontanierii__Chinese_zokor__HLeosFon1__GCA_035773235.1	1	0	1	0
Eptesicus_fuscus__big_brown_bat__HLeptFus3__GCF_027574615.1	6	1	5	0
Equus_asinus__Ass__HLequAsin4__GCF_041296235.1	11	10	1	0
Equus_caballus__Horse__HLequCaba4__GCF_041296265.1	11	10	1	0
Equus_kiang__Kiang__HLequKian1__GCA_052150635.1	11	10	1	0
Erythrocebus_patas__red_guenon__HLeryPat3__GCA_023783455.1	4	4	0	0
Eschrichtius_robustus__grey_whale__HLescRob3__GCA_028021215.1	3	1	0	2
Eubalaena_glacialis__North_Atlantic_right_whale__HLeubGla2__GCF_028564815.1	3	1	0	2
Eulemur_flavifrons__Sclaters_lemur__HLeulFla1	2	1	1	0
Eulemur_rufifrons__Bennetts_brown_lemur__HLeulRuf1__GCA_041146395.1	2	1	1	0
Eumetopias_jubatus__Steller_sea_lion__HLeumJub1__GCA_004028035.1	2	1	1	0
Felis_catus__Domestic_cat__HLfelCatu10__GCA_051911835.1	2	1	1	0
Felis_catus__domestic_cat__felCat9__GCF_000181335.3	2	1	1	0
Felis_chaus__jungle_cat__HLfelCha1__GCA_019924945.1	2	1	1	0
Gardnerycteris_keenani__Keenans_Hairy-nosed_Bat__HLgarKeen1A__GCA_050655435.1	2	1	1	0
Geomys_bursarius__Plains_pocket_gopher__HLgeoBur1__GCA_040207655.1	1	0	1	0
Gorilla_gorilla_gorilla__western_lowland_gorilla__gorGor6__GCF_008122165.1	4	4	0	0
Gorilla_gorilla__western_gorilla__HLgorGor7__GCA_029281585.3	4	4	0	0
Grammomys_surdaster__African_woodland_thicket_rat__HLgraSur1__GCA_004785775.1	1	0	1	0
Grampus_griseus__Rissos_dolphin__HLgraGris2A__GCA_964374135.1	2	1	0	1
Gulo_gulo_luscus__American_wolverine__HLgulGulLus2__GCA_024510155.1	2	1	1	0
Herpailurus_yagouaroundi__jaguarundi__HLpumYag1__GCA_014898765.1	2	1	1	0
Heterohyrax_brucei__yellow-spotted_hyrax__HLhetBru2__GCA_028571685.1	2	1	1	0
Hexaprotodon_liberiensis__pygmy_hippopotamus__HLhexLib1__GCA_023065765.1	13	1	0	12
Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar2__GCA_043727955.1	2	1	1	0
Hipposideros_pendleburyi__Pendleburys_leaf-nosed_bat__HLhipPen1__GCA_021464545.1	2	1	1	0
Hoolock_leuconedys__eastern_hoolock_gibbon__HLhooLeu1__GCA_023748175.1	4	3	1	0
Hyaena_hyaena__striped_hyena__HLhyaHya1__GCA_003009895.1	2	1	1	0
Hydrurga_leptonyx__Leopard_seal__HLhydLept1__GCA_050320145.1	2	1	1	0
Hylobates_pileatus__pileated_gibbon__HLhylPil1__GCA_021498465.1	3	2	1	0
Ia_io__Great_evening_bat__HLiaxIox1__GCA_025583905.1	2	1	1	0
Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4A__GCA_052094955.1	1	0	1	0
Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4B__GCA_052094965.1	1	0	1	0
Inia_geoffrensis__Boutu__HLiniGeo2A__GCA_036417435.1	7	1	0	6
Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	5	1	0	4
Jaculus_jaculus__lesser_Egyptian_jerboa__HLjacJac2__GCA_020740685.1	1	0	1	0
Kogia_breviceps__pygmy_sperm_whale__HLkogBre3__GCF_026419965.1	4	1	0	3
Kogia_sima__dwarf_sperm_whale__HLkogSim1	1	1	0	0
Lama_glama_chaku__llama__HLlamGlaCha1__GCA_013239585.1	2	1	0	1
Lasiopodomys_brandtii__Brandts_vole__HLlasBran1__GCA_052819205.1	1	0	1	0
Lasiopodomys_mandarinus__Mandarin_vole__HLlasMand1__GCA_052819315.1	1	0	1	0
Lemmus_lemmus__Norway_lemming__HLlemLemm1__GCA_964027135.1	1	0	1	0
Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1	2	1	1	0
Lemur_catta__Ring-tailed_lemur__HLlemCat2__GCF_020740605.2	2	1	1	0
Leontopithecus_rosalia__Golden_lion_tamarin__HLleoRosa2A__GCA_054824895.1	2	1	1	0
Lepus_capensis__Brown_hare__HLlepCap1__GCA_042027585.1	9	8	1	0
Lepus_castroviejoi__Broom_Hare__HLlepCast1__GCA_978442995.1	9	8	1	0
Lepus_europaeus__European_hare__HLlepEur1__GCF_033115175.1	11	10	1	0
Lepus_oiostolus__Woolly_hare__HLlepOio1__GCA_036325905.1	9	8	1	0
Lepus_timidus__Mountain_hare__HLlepTimi2__GCA_040893245.2	12	11	1	0
Lepus_tolai__Tolai_hare__HLlepTola1__GCA_051942805.1	9	8	1	0
Lepus_yarkandensis__Yarkand_hare__HLlepYar1__GCA_047496845.1	13	12	1	0
Lontra_canadensis__Northern_American_river_otter__HLlonCan1__GCA_010015895.1	2	1	1	0
Lophostoma_evote__Davis_round-eared_bat__HLlopEvot1A__GCA_051307075.1	2	1	1	0
Loris_tardigradus__slender_loris__HLlorTar1__GCA_023783135.1	2	1	1	0
Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	2	1	1	0
Loxodonta_africana__African_savanna_elephant__HLloxAfr5B__GCA_030020305.1	2	1	1	0
Lutra_lutra__Eurasian_river_otter__HLlutLut1__GCA_902655055.1	2	1	1	0
Lycaon_pictus__African_hunting_dog__HLlycPic3	2	1	1	0
Lycaon_pictus__African_hunting_dog__HLlycPict4A__GCA_040955705.1	2	1	1	0
Lynx_canadensis__Canada_lynx__HLlynCan1__GCA_007474595.1	2	1	1	0
Lynx_canadensis__Canada_lynx__HLlynCana2__GCF_007474595.2	2	1	1	0
Lynx_rufus__bobcat__HLlynRuf1__GCA_022079265.1	2	1	1	0
Macaca_assamensis__Assam_macaque__HLmacAss1__GCA_023783095.1	6	5	1	0
Macaca_cyclopis__Taiwan_macaque__HLmacCyc1__GCA_026956025.1	4	3	1	0
Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1	14	13	1	0
Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2	1	1	0	0
Macaca_mulatta__Rhesus_monkey__HLmacMula11__GCF_049350105.2	5	4	1	0
Macaca_nemestrina__Pig-tailed_macaque__HLmacNeme2A__GCF_043159975.1	5	4	1	0
Macaca_nigra__Celebes_crested_macaque__HLmacNir1__GCA_928851695.1	5	4	1	0
Macaca_silenus__liontail_macaque__HLmacSil1__GCA_023807365.1	3	2	1	0
Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1	2	1	1	0
Macrotus_californicus__California_big-eared_bat__HLmacCal1__GCA_007922815.1	2	1	1	0
Manis_javanica__Malayan_pangolin__HLmanJav3__GCA_024605085.1	2	1	1	0
Manis_javanica__Malayan_pangolin__HLmanJava4__GCF_040802235.1	2	1	1	0
Manis_pentadactyla__Chinese_pangolin__HLmanPen4__GCF_030020395.1	2	1	1	0
Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2A__GCF_047511675.1	1	0	1	0
Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1	1	0	1	0
Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2	1	0	1	0
Marmota_himalayana__Himalayan_marmot__HLmarHim1__GCA_005280165.1	1	0	1	0
Marmota_monax__woodchuck__HLmarMon3__GCA_021218885.1	1	0	1	0
Martes_flavigula__Yellow-throated_marten__HLmarFlav2__GCA_029410595.1	2	1	1	0
Martes_foina__Beach_marten__HLmarFoin2__GCA_964304585.1	2	1	1	0
Martes_foina__beach_marten__HLmarFoi1	2	1	1	0
Martes_martes__European_pine_marten__HLmarMart2__GCA_963455335.1	2	1	1	0
Martes_martes__European_pine_marten__HLmarMat1	2	1	1	0
Mastacomys_fuscus__broad-toothed_rat__HLmasFus1	1	0	1	0
Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1	2	1	1	0
Megaptera_novaeangliae__Humpback_whale__HLmegNova3__GCA_041834305.1	3	1	0	2
Meles_meles__Eurasian_badger__HLmeeMel1__GCA_922984935.1	2	1	1	0
Mephitis_mephitis__Striped_skunk__HLmepMeph1__GCA_055769545.1	2	1	1	0
Meriones_psammophilus__Rodents__HLmerPsa1__GCA_036365155.1	1	0	1	0
Meriones_unguiculatus__Mongolian_gerbil__HLmerUng2__GCF_030254825.1	1	0	1	0
Mesocricetus_auratus__golden_hamster__HLmesAur3__GCF_017639785.1	1	0	1	0
Mesoplodon_densirostris__Blainvilles_beaked_whale__HLmesDen2__GCA_025265405.1	4	1	0	3
Microcebus_murinus__Gray_mouse_lemur__HLmicMuri4A__GCF_040939455.1	2	1	1	0
Microcebus_murinus__gray_mouse_lemur__micMur3__GCF_000165445.2	2	1	1	0
Micromys_minutus__European_harvest_mouse__HLmicMin1__GCA_963924665.1	1	0	1	0
Micronycteris_microtis__Common_big-eared_bat__HLmicMicr1A__GCA_051107205.1	2	1	1	0
Microtus_agrestis__short-tailed_field_vole__HLmicAgr2__GCA_902806775.1	1	0	1	0
Microtus_californicus__California_vole__HLmicCal1A__GCA_028537955.1	1	0	1	0
Microtus_californicus__California_vole__HLmicCal1B__GCA_028537755.1	1	0	1	0
Microtus_oregoni__creeping_vole__HLmicOre1__GCF_018167655.1	1	0	1	0
Microtus_pennsylvanicus__Meadow_vole__HLmicPen1A__GCA_037038515.1	1	0	1	0
Microtus_pennsylvanicus__Meadow_vole__HLmicPen1B__GCA_037039175.1	1	0	1	0
Microtus_richardsoni_arvicoloides__water_vole__HLmicRicArv1__GCA_020387435.1	1	0	1	0
Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSch2A__GCA_964146895.1	2	1	1	0
Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSch2B__GCA_964145185.1	2	1	1	0
Mirounga_leonina__Southern_elephant_seal__HLmirLeo1__GCA_011800145.1	2	1	1	0
Mirza_zaza__Northern_giant_mouse_lemur__HLmirZaz1__GCA_008750895.1	2	1	1	0
Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv1__GCA_031001765.1	2	1	1	0
Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv2A__GCA_037157525.1	2	1	1	0
Molossus_alvarezi__Alvarezs_mastiff_bat__HLmolAlv2B__GCA_037176705.1	2	1	1	0
Molossus_molossus__Pallass_mastiff_bat__HLmolMol2__GCA_014108415.1	2	1	1	0
Molossus_nigricans__Northern_black_mastiff_bat__HLmolNig2A__GCA_039880945.1	2	1	1	0
Molossus_nigricans__Northern_black_mastiff_bat__HLmolNig2B__GCA_039880925.1	2	1	1	0
Molossus_nigricans__northern_black_mastiff_bat__HLmolNig1__GCA_026936385.1	2	1	1	0
Monachus_monachus__Mediterranean_monk_seal__HLmonMona1__GCA_976986665.1	2	1	1	0
Monodon_monoceros__narwhal__HLmonMon2__GCA_005190385.3	3	1	0	2
Mops_condylurus__Angolan_free-tailed_bat__HLmopCon1__GCA_043748645.1	2	1	1	0
Moschus_berezovskii__Chinese_forest_musk_deer__HLmosBere4__GCA_049115385.1	23	1	0	22
Muntiacus_crinifrons__black_muntjac__HLmunCri2__GCA_020276665.1	38	1	0	37
Muntiacus_gongshanensis__Gongshanensis_muntjac__HLmunGon1__GCA_020226025.1	37	1	0	36
Muntiacus_vaginalis__Northern_red_muntjac__HLmunVag1__GCA_039877825.1	42	1	0	41
Mustela_erminea__ermine__HLmusErm1__GCA_009829155.1	2	1	1	0
Mustela_eversmannii__Steppe_polecat__HLmusEve1__GCA_963422785.1	2	1	1	0
Mustela_lutreola__European_mink__HLmusLut1__GCF_030435805.1	2	1	1	0
Mustela_nivalis__Least_weasel__HLmusNiva2A__GCA_964662115.1	2	1	1	0
Mustela_nivalis__least_weasel__HLmusNiv1__GCA_019141155.1	2	1	1	0
Mustela_putorius_furo__domestic_ferret__HLmusFur2__GCA_011764305.1	2	1	1	0
Mustela_putorius_furo__domestic_ferret__HLmusPutFur2__GCF_011764305.1	2	1	1	0
Mus_minutoides__Southern_African_pygmy_mouse__HLmusMin1__GCA_902729475.2	1	0	1	0
Mus_musculus_molossinus__Japanese_wild_mouse__HLmusMusMol40__GCA_921999095.1	1	0	1	0
Mus_musculus__House_mouse__HLmusMusc41__GCA_949316315.1	1	0	1	0
Mus_musculus__house_mouse__mm10__GCF_000001635.20	1	0	1	0
Mus_musculus__house_mouse__mm39__GCF_000001635.27	1	0	1	0
Mus_spretus__Western_wild_mouse__HLmusSpr2__GCA_921997135.2	1	0	1	0
Myospalax_psilurus__Transbaikal_zokor__HLmyoPsil1__GCA_049190895.1	1	0	1	0
Myotis_daubentonii__Daubentons_bat__HLmyoDau2__GCF_963259705.1	3	1	2	0
Myotis_daubentonii__Daubentons_bat__HLmyoDaub3A__GCA_963259705.2	3	1	2	0
Myotis_emarginatus__Geoffroys_bat__HLmyoEma1A__GCA_965115925.1	3	1	2	0
Myotis_mystacinus__Whiskered_bat__HLmyoMys2A__GCA_964094495.2	9	1	8	0
Myotis_mystacinus__Whiskered_bat__HLmyoMys2B__GCA_964195625.1	11	1	10	0
Myotis_mystacinus__Whiskered_bat__HLmyoMyst3A__GCA_964094495.3	9	1	8	0
Myotis_nattereri__Natterers_bat__HLmyoNat1A__GCA_964212035.1	4	1	3	0
Myotis_nattereri__Natterers_bat__HLmyoNat1B__GCA_964212025.1	3	1	2	0
Myotis_nesopolus__Cucacao_Myotis__HLmyoNeso1A__GCA_054855985.1	5	1	4	0
Myotis_pilosus__Ricketts_big-footed_Myotis__HLmyoRic2__GCA_036010255.1	3	1	2	0
Myotis_yumanensis__Yuma_myotis__HLmyoYum1A__GCA_028536395.1	4	1	3	0
Myotis_yumanensis__Yuma_myotis__HLmyoYum1B__GCA_028538775.1	4	1	3	0
Myrmecophaga_tridactyla__giant_anteater__HLmyrTri2	1	1	0	0
Neodon_fuscus__Smokey_vole__HLneoFus1__GCA_047571435.1	1	0	1	0
Neodon_shergylaensis__Shergyla_mountain_vole__HLneoShe1__GCA_025134845.1	1	0	1	0
Neoeptesicus_chiriquinus__Chiriquinan_serotine__HLneoChir1A__GCA_054100705.1	7	1	6	0
Neoeptesicus_chiriquinus__Chiriquinan_serotine__HLneoChir1B__GCA_054099605.1	7	1	6	0
Neoeptesicus_furinalis__Argentine_brown_bat__HLneoFuri1A__GCA_054644455.1	11	1	10	0
Neofelis_nebulosa__Clouded_leopard__HLneoNeb2__GCF_028018385.1	2	1	1	0
Neogale_vison__American_mink__HLneoVis2__GCF_020171115.1	2	1	1	0
Neogale_vison__American_mink__HLneoViso3A__GCA_964106545.1	2	1	1	0
Neomonachus_schauinslandi__Hawaiian_monk_seal__HLneoSch2	2	1	1	0
Neomonachus_schauinslandi__Hawaiian_monk_seal__neoSch1__GCF_002201575.1	2	1	1	0
Neophocaena_sunameri__East_Asian_finless_porpoise__HLneoAsiSun2__GCA_026225855.1	3	1	0	2
Neotoma_floridana__Eastern_woodrat__HLneoFlor1A__GCA_050000055.1	1	0	1	0
Nomascus_leucogenys__Northern_white-cheeked_gibbon__HLnomLeuc5__GCA_040113115.1	4	3	1	0
Nomascus_leucogenys__northern_white-cheeked_gibbon__HLnomLeu4__GCA_006542625.1	5	4	1	0
Nyctalus_aviator__birdlike_noctule__HLnycAvi1__GCA_036971965.1	7	1	6	0
Nyctalus_leisleri__Lesser_noctule__HLnycLeis2A__GCA_964264875.2	14	1	13	0
Nyctereutes_procyonoides__raccoon_dog__HLnycPro4__GCA_905146905.1	2	1	1	0
Nycticebus_bengalensis__Bengal_slow_loris__HLnycBen1__GCA_023898255.1	2	1	1	0
Nycticebus_coucang__slow_loris__HLnycCou2__GCF_027406575.1	2	1	1	0
Ochotona_argentata__Helan_Shan_pika__HLochArge1__GCA_051943095.1	16	15	1	0
Ochotona_princeps__American_pika__HLochPri4__GCF_030435755.1	16	15	1	0
Ondatra_zibethicus__muskrat__HLondZib1__GCA_004026605.1	1	0	1	0
Onychomys_arenicola__Chihuahuan_grasshopper_mouse__HLonyAre1A__GCA_949786405.1	1	0	1	0
Onychomys_arenicola__Chihuahuan_grasshopper_mouse__HLonyAre1B__GCA_949786425.1	1	0	1	0
Onychomys_leucogaster__Northern_grasshopper_mouse__HLonyLeu1__GCA_949786385.1	1	0	1	0
